Complete name,Short name,functional group(s), CID PubChem ID,C series,Alternative (1) / Legacy (0),CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
Heptafluorobutyric acid,PFBA,COOH,9777,4,1,375-22-4,YPJUNDFVDDCYIH-UHFFFAOYSA-N,Heptafluorobutanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF7O2/c5-2(6,1(12)13)3(7,8)4(9,10)11/h(H,12,13)",C4HF7O2,214.039,213.986476,187,96,123,,1,9/506,2,506
Undecafluorohexanoic acid,PFHxA,COOH,67542,6,1,307-24-4,PXUULQAPEKKVAH-UHFFFAOYSA-N,Undecafluorohexanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C6HF11O2/c7-2(8,1(18)19)3(9,10)4(11,12)5(13,14)6(15,16)17/h(H,18,19)",C6HF11O2,314.054,313.980089,211,41,85,1,1,43/1098,4,1098
Perfluoroheptanoic acid,PFHpA,COOH,67818,7,1,375-85-9,ZWBAMYVPMDSJGQ-UHFFFAOYSA-N,Tridecafluoroheptanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C7HF13O2/c8-2(9,1(21)22)3(10,11)4(12,13)5(14,15)6(16,17)7(18,19)20/h(H,21,22)",C7HF13O2,364.062,363.976895,216,7,99,,1,52/1038,5,1038
Perfluoropentanoic acid,PFPeA,COOH,75921,5,1,2706-90-3,CXZGQIAOTKWCDB-UHFFFAOYSA-N,Nonafluoropentanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C5HF9O2/c6-2(7,1(15)16)3(8,9)4(10,11)5(12,13)14/h(H,15,16)",C5HF9O2,264.047,263.983283,152,,93,,1,4/461,1,461
Perfluorodecanoic acid,PFDA,COOH,9555,10,0,335-76-2,PCIUEQPBYFRTEM-UHFFFAOYSA-N,Nonadecafluorodecanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C10HF19O2/c11-2(12,1(30)31)3(13,14)4(15,16)5(17,18)6(19,20)7(21,22)8(23,24)9(25,26)10(27,28)29/h(H,30,31)",C10HF19O2,514.086,513.967314,242,151,77,,1,317/1075,29,1075
Pentafluoropropionic acid,PFPrA,COOH,62356,3,1,422-64-0,LRMSQVBRUNSOJL-UHFFFAOYSA-N,Pentafluoropropanoic acid,OC(=O)C(F)(F)C(F)(F)F,"InChI=1S/C3HF5O2/c4-2(5,1(9)10)3(6,7)8/h(H,9,10)",C3HF5O2,164.031,163.98967,92,29,120,1,1,6/460,1,460
Nonafluorobutane-1-sulfonic acid,PFBS,SO3,67815,4,1,375-73-5,JGTNAGYHADQMCM-UHFFFAOYSA-N,Nonafluorobutane-1-sulfonic acid,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF9O3S/c5-1(6,3(9,10)11)2(7,8)4(12,13)17(14,15)16/h(H,14,15,16)",C4HF9O3S,300.09,299.950269,194,136,97,,1,8/504,2,504
Perfluorooctanoic acid,PFOA,COOH,9554,8,0,335-67-1,SNGREZUHAYWORS-UHFFFAOYSA-N,Pentadecafluorooctanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF15O2/c9-2(10,1(24)25)3(11,12)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)23/h(H,24,25)",C8HF15O2,414.07,413.973702,315,1179,139,6,1,133/1396,10,1396
Perfluoroundecanoic acid,PFUnA,COOH,77222,11,0,2058-94-8,SIDINRCMMRKXGQ-UHFFFAOYSA-N,Henicosafluoroundecanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C11HF21O2/c12-2(13,1(33)34)3(14,15)4(16,17)5(18,19)6(20,21)7(22,23)8(24,25)9(26,27)10(28,29)11(30,31)32/h(H,33,34)",C11HF21O2,564.093,563.964121,189,13,71,,1,257/1123,23,1123
Pentadecafluorooctanoic acid ammonium salt,PFOA-NH4,COONH4,2776282,8,0,3825-26-1,YOALFLHFSFEMLP-UHFFFAOYSA-N,Ammonium pentadecafluorooctanoate,[NH4+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF15O2.H3N/c9-2(10,1(24)25)3(11,12)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)23;/h(H,24,25);1H3",C8H4F15NO2,431.101,431.000251,179,1179,36,20,1,74/1025,7,1025
Perfluorononanoic acid,PFNA,COOH,67821,9,0,375-95-1,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,Heptadecafluorononanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C9HF17O2/c10-2(11,1(27)28)3(12,13)4(14,15)5(16,17)6(18,19)7(20,21)8(22,23)9(24,25)26/h(H,27,28)",C9HF17O2,464.078,463.970508,237,16,94,,1,277/1124,25,1124
Heptadecafluorooctanesulfonic acid potassium salt,PFOS K salt,SO3,23669238,8,0,2795-39-3,WFRUBUQWJYMMRQ-UHFFFAOYSA-M,Potassium heptadecafluorooctane-1-sulfonate,[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF17O3S.K/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)29(26,27)28;/h(H,26,27,28);/q;+1/p-1",C8F17KO3S,538.22,537.893375,155,,77,1,1,224/1132,20,1132
"2,2-difluoro-2-(trifluoromethoxy) acetic acid",PFMOAA,O-COOH,5125273,3,1,674-13-5,IHYMJUVQLSNPPP-UHFFFAOYSA-N,Difluoro(trifluoromethoxy)acetic acid,OC(=O)C(F)(F)OC(F)(F)F,"InChI=1S/C3HF5O3/c4-2(5,1(9)10)11-3(6,7)8/h(H,9,10)",C3HF5O3,180.03,179.984585,25,,19,,1, ,,
"Ammonium 2-perfluoropentoxy-2,3,3,3-tetrafluoropropanoate",PFoxaOA NH4,O-COOH,2782557,8,1,510774-81-9,HZVUWLKXQRJTAL-UHFFFAOYSA-N,"Ammonium 2,3,3,3-tetrafluoro-2-[(undecafluoropentyl)oxy]propanoate",[NH4+].[O-]C(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,"InChI=1S/C8HF15O3.H3N/c9-2(1(24)25,6(16,17)18)26-8(22,23)5(14,15)3(10,11)4(12,13)7(19,20)21;/h(H,24,25);1H3",C8H4F15NO3,447.1,446.995165,20,,11,,5, ,,
"Perfluoro-2,5-dimethyl-3,6-dioxaheptanoic acid 95%",HFPO-TA,O-O-COOH,93076,9,1,13252-14-7,OIVQVBDAMYDDEM-UHFFFAOYSA-N,"2,3,3,3-Tetrafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(heptafluoropropoxy)propoxy]propanoic acid",OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,"InChI=1S/C9HF17O4/c10-2(1(27)28,5(14,15)16)29-9(25,26)4(13,7(20,21)22)30-8(23,24)3(11,12)6(17,18)19/h(H,27,28)",C9HF17O4,496.076,495.960337,49,,55,,1,10/461,2,461
"Perfluoro-2,5,8-trimethyl-3,6,9-trioxadodecanoic acid",HFPO-TeA,O-O-O-COOH,182328,12,1,65294-16-8,HPNULWLLEOKCID-UHFFFAOYSA-N,"2,3,3,3-Tetrafluoro-2-{1,1,2,3,3,3-hexafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(heptafluoropropoxy)propoxy]propoxy}propanoic acid",OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,"InChI=1/C12HF23O5/c13-2(1(36)37,6(18,19)20)38-11(32,33)4(16,8(24,25)26)40-12(34,35)5(17,9(27,28)29)39-10(30,31)3(14,15)7(21,22)23/h(H,36,37)",C12HF23O5,662.098,661.945671,33,,19,,1,4/461,1,461
"Perfluoro-3,6-dioxaheptanoic acid 98%",PFO2HpA,O-O-COOH,2782393,5,1,151772-58-6,PPWRLPJIHGWGFH-UHFFFAOYSA-N,"Difluoro[1,1,2,2-tetrafluoro-2-(trifluoromethoxy)ethoxy]acetic acid",OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,"InChI=1S/C5HF9O4/c6-2(7,1(15)16)17-3(8,9)4(10,11)18-5(12,13)14/h(H,15,16)",C5HF9O4,296.045,295.973112,44,,44,,1,19/506,4,506
"perfluoro-3,6-dioxadecanoic acid",PFO2DA,O-O-COOH,2778677,8,1,137780-69-9,PPSAKBBLKCJDCR-UHFFFAOYSA-N,"Difluoro[1,1,2,2-tetrafluoro-2-(nonafluorobutoxy)ethoxy]acetic acid",OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF15O4/c9-2(10,1(24)25)26-7(20,21)8(22,23)27-6(18,19)4(13,14)3(11,12)5(15,16)17/h(H,24,25)",C8HF15O4,446.068,445.963531,38,,37,,1,52/299,17,299
"Perfluoro-3,6,9-trioxadecanoic acid 98%",PFO3-3-6-9-DoA,O-O-O-COOH,2778260,7,1,151772-59-7,GNQWOKPKDHCUSB-UHFFFAOYSA-N,"Difluoro{1,1,2,2-tetrafluoro-2-[1,1,2,2-tetrafluoro-2-(trifluoromethoxy)ethoxy]ethoxy}acetic acid",OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,"InChI=1S/C7HF13O5/c8-2(9,1(21)22)23-3(10,11)4(12,13)24-5(14,15)6(16,17)25-7(18,19)20/h(H,21,22)",C7HF13O5,412.059,411.961639,37,,41,,1,23/462,5,462
"Perfluoro-3,6,9-trioxatridecanoic acid 98%",PFO3-3-6-9-TriDoA,O-O-O-COOH,2760333,10,1,330562-41-9,GDQLSTSWOFAQNO-UHFFFAOYSA-N,"Difluoro{1,1,2,2-tetrafluoro-2-[1,1,2,2-tetrafluoro-2-(nonafluorobutoxy)ethoxy]ethoxy}acetic acid",OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C10HF19O5/c11-2(12,1(30)31)32-7(22,23)8(24,25)34-10(28,29)9(26,27)33-6(20,21)4(15,16)3(13,14)5(17,18)19/h(H,30,31)",C10HF19O5,562.083,561.952058,40,,36,,1,187/504,37,504
"Methyl perfluoro-3,6,9-trioxatridecanoate",CH3-PFO3-3-6-9-TriDoA,O-O-O-COOH,2769352,11,1,330562-42-0,FMEDKXCQTKWGKE-UHFFFAOYSA-N,"Methyl difluoro{1,1,2,2-tetrafluoro-2-[1,1,2,2-tetrafluoro-2-(nonafluorobutoxy)ethoxy]ethoxy}acetate",COC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C11H3F19O5/c1-32-2(31)3(12,13)33-8(23,24)9(25,26)35-11(29,30)10(27,28)34-7(21,22)5(16,17)4(14,15)6(18,19)20/h1H3",C11H3F19O5,576.11,575.967708,24,,33,,, ,,
Perfluoro (3-oxapentane-1-sulfonic acid) 97%,PF2EOESA,O-SO3,277618,4,1,113507-82-7,RJGUAQKOHAABLK-UHFFFAOYSA-N,"1,1,2,2-Tetrafluoro-2-(pentafluoroethoxy)ethane-1-sulfonic acid",OS(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,"InChI=1S/C4HF9O4S/c5-1(6,7)2(8,9)17-3(10,11)4(12,13)18(14,15)16/h(H,14,15,16)",C4HF9O4S,316.09,315.945183,38,,46,,2,15/299,5,299
"Perfluoro(4-methyl-3,6-dioxaoctane)sulfonic acid 95%",similar to Nafion-BP2 ,O-O-SO3,4604312,7,1,80043-98-7,NAIPGGGRAGKHJB-UHFFFAOYSA-N,,OS(=O)(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)F,"InChI=1/C7HF15O5S/c8-1(2(9,10)11,4(15,16)27-5(17,18)3(12,13)14)26-6(19,20)7(21,22)28(23,24)25/h(H,23,24,25)", C7HF15O5S ,482.12,,,,,,,,,
"7H-Perfluoro-4-methyl-3,6-dioxaoctanesulfonic acid",Nafion-BP2,O-O-SO3,14317645,7,1,749836-20-2,KOHJZTAURQTUHH-UHFFFAOYSA-N,"1,1,2,2-Tetrafluoro-2-{[1,1,1,2,3,3-hexafluoro-3-(1,2,2,2-tetrafluoroethoxy)propan-2-yl]oxy}ethane-1-sulfonic acid",[H]C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)S(O)(=O)=O)C(F)(F)F)C(F)(F)F,"InChI=1/C7H2F14O5S/c8-1(2(9,10)11)25-5(16,17)3(12,4(13,14)15)26-6(18,19)7(20,21)27(22,23)24/h1H,(H,22,23,24)",C7H2F14O5S,464.13,463.939939,18,,7,,1, ,,
"Potassium perfluoro(4-methyl-3,6-dioxaoctane)sulfonate",similar to Nafion-BP2 K salt,O-O-SO3,23671509,7,1,70755-50-9,XIICCSXABGIGJL-UHFFFAOYSA-M,"Potassium 1,1,2,2-tetrafluoro-2-{[1,1,1,2,3,3-hexafluoro-3-(pentafluoroethoxy)propan-2-yl]oxy}ethane-1-sulfonate",[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(F)C(F)(F)F,"InChI=1S/C7HF15O5S.K/c8-1(2(9,10)11,4(15,16)27-5(17,18)3(12,13)14)26-6(19,20)7(21,22)28(23,24)25;/h(H,23,24,25);/q;+1/p-1",C7F15KO5S,520.21,519.886398,19,,21,,5, ,,
Perfluoro-3-methoxypropanoic acid 98%,PF3MOPrA,O-COOH,120228,4,1,377-73-1,AGIMOOYNBDLMJV-UHFFFAOYSA-N,"2,2,3,3-Tetrafluoro-3-(trifluoromethoxy)propanoic acid",OC(=O)C(F)(F)C(F)(F)OC(F)(F)F,"InChI=1S/C4HF7O3/c5-2(6,1(12)13)3(7,8)14-4(9,10)11/h(H,12,13)",C4HF7O3,230.038,229.981391,41,,34,,1,4/470,1,470
Perfluoroheptanesulfonic acid,PFHpS,SO3,67820,7,1,375-92-8,OYGQVDSRYXATEL-UHFFFAOYSA-N,Pentadecafluoroheptane-1-sulfonic acid,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C7HF15O3S/c8-1(9,2(10,11)4(14,15)6(18,19)20)3(12,13)5(16,17)7(21,22)26(23,24)25/h(H,23,24,25)",C7HF15O3S,450.12,449.940688,84,,44,,1,42/464,9,464
Perfluoropentanesulfonic acid 95%,PFPeS,SO3,75922,5,1,2706-91-4,ACEKLXZRZOWKRY-UHFFFAOYSA-N,Undecafluoropentane-1-sulfonic acid,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C5HF11O3S/c6-1(7,2(8,9)4(12,13)14)3(10,11)5(15,16)20(17,18)19/h(H,17,18,19)",C5HF11O3S,350.1,349.947075,68,,23,,1, ,,
Perfluoro-4-methoxybutanoic acid 97%,PF4MOBA,O-COOH,12498036,5,1,863090-89-5,CZTBTZZANBJSLY-UHFFFAOYSA-N,"2,2,3,3,4,4-Hexafluoro-4-(trifluoromethoxy)butanoic acid",OC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,"InChI=1S/C5HF9O3/c6-2(7,1(15)16)3(8,9)4(10,11)17-5(12,13)14/h(H,15,16)",C5HF9O3,280.046,279.978197,41,,,,1,6/506,1,506
"Perfluoro-3,6-dioxa-4-methyl-7-octene-1-sulfonic acid",Nafion BP1 (PFESA BP1),C=C-O-O-SO3,61890,7,1,29311-67-9,AUUAIQGEFIEHRO-UHFFFAOYSA-N,"1,1,2,2-Tetrafluoro-2-({1,1,1,2,3,3-hexafluoro-3-[(trifluoroethenyl)oxy]propan-2-yl}oxy)ethane-1-sulfonic acid",OS(=O)(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,"InChI=1S/C7HF13O5S/c8-1(9)2(10)24-5(15,16)3(11,4(12,13)14)25-6(17,18)7(19,20)26(21,22)23/h(H,21,22,23)",C7HF13O5S,444.12,443.93371,23,,11,,1,,,
"Perfluoro-2,5-dimethyl-3,6-dioxaheptanoic acid",Branched ADONA,O-O-COOH,87119578,7,1,2479-73-4,JNYDOQOWNTURLR-UHFFFAOYSA-N,"2,3,3,3-Tetrafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(trifluoromethoxy)propoxy]propanoic acid",OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(F)(F)F,"InChI=1/C7HF13O4/c8-2(1(21)22,4(10,11)12)23-6(16,17)3(9,5(13,14)15)24-7(18,19)20/h(H,21,22)",C7HF13O4,396.06,395.966725,15,,4,,1,,,
"2,3,3,3-Tetrafluoro-2-(heptafluoropropoxy)propanoic acid",HFPO-DA/ GenX,O-COOH,114481,6,1,13252-13-6,CSEBNABAWMZWIF-UHFFFAOYSA-N,"2,3,3,3-Tetrafluoro-2-(heptafluoropropoxy)propanoic acid",OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,"InChI=1S/C6HF11O3/c7-2(1(18)19,4(10,11)12)20-6(16,17)3(8,9)5(13,14)15/h(H,18,19)",C6HF11O3,330.053,329.975004,100,,53,,1,6/506,1,506
Potassium 9-chlorohexadecafluoro-3-oxanonane-1-sulfonate,8:2 Cl-PFESA  K salt,Cl-SO3,50851128,8,1,73606-19-6,OWQCHLFKOGVODW-UHFFFAOYSA-M,"Potassium 2-[(6-chloro-1,1,2,2,3,3,4,4,5,5,6,6-dodecafluorohexyl)oxy]-1,1,2,2-tetrafluoroethane-1-sulfonate",[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,"InChI=1S/C8HClF16O4S.K/c9-5(18,19)3(14,15)1(10,11)2(12,13)4(16,17)6(20,21)29-7(22,23)8(24,25)30(26,27)28;/h(H,26,27,28);/q;+1/p-1",C8ClF16KO4S,570.67,569.858739,36,,,,1, ,,
Perfluorohexanesulfonic acid potassium salt,PFHxS K salt,SO3,23678874,6,1,3871-99-6,RSCGQEBKFSGWJT-UHFFFAOYSA-M,Potassium tridecafluorohexane-1-sulfonate,[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C6HF13O3S.K/c7-1(8,3(11,12)5(15,16)17)2(9,10)4(13,14)6(18,19)23(20,21)22;/h(H,20,21,22);/q;+1/p-1",C6F13KO3S,438.2,437.899763,115,,69,,1,69/1037,7,1037
