SMILES,half_life_mean,half_life_sd,count,PFAS,LogKa
C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.808219178,0.0,1,PFDoA,4.8039374351501465
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,4.689751552088859,5.224674036006229,10,PFUdA,5.167116641998291
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,4.361645297561435,2.05865424542764,10,PFDA,5.391226291656494
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,4.031745553110904,1.9779783360076626,92,PFNA,5.445358753204346
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,2.4145242436355043,1.4153500116717197,3220,PFOA,5.382719993591309
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)O,0.3270130974420458,0.18048851175113356,6,5mPFOA,5.314042091369629
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)F)(F)F)(F)F)O,0.6848614975932783,0.19751268065945535,6,4mPFOA,5.314042091369629
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.5317658251323955,0.6200027869507274,24,PFHpA,5.239198684692383
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.5980821917333333,1.0729309468016244,15,PFHxA,4.946195125579834
C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,0.001424658,0.0,1,PFPeA,4.85585880279541
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,0.020786633363636366,0.005412462687835294,11,PFBA,4.3221564292907715
C(=O)(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)O,0.007835616,0.0,1,HFPO-DA,4.920711994171143
C(=O)(C(OC(OC(OC(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.48176904859293174,0.9323744854513275,22,PFO4DA,4.925169467926025
C(=O)(C(OC(OC(OC(OC(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,1.2528772411523807,4.153165626523144,22,PFO5DoA,5.108689308166504
C(C(C(=O)O)(F)F)(OC(C(C(OC(F)(F)F)(F)F)(F)F)(F)F)F,0.095068493,0.0,1,DONA,5.232205867767334
C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)S(=O)(=O)O)F,2.3594743733263717,1.088831876655586,69,2mPFOS,5.8139753341674805
C(C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F,2.8309715815402066,2.2531655155008568,79,6mPFOS,5.853418350219727
C(C(C(C(C(F)(F)Cl)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,5.380419725288268,1.13516588145226,37,8-Cl-PFOS,5.9384002685546875
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)F,5.089521705505655,3.406386038296923,119,3mPFOS,5.8139753341674805
C(C(C(C(C(F)(F)F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,7.8796815243461715,5.288876059870258,114,1mPFOS,5.8139753341674805
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,4.57660570079321,2.5798332904342782,297,PFOS,5.895376205444336
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(C(F)(F)F)F,4.935020404751192,2.9794284874472226,119,5mPFOS,5.8139753341674805
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(F)(F)F)F,5.183630753300889,3.1697608552968366,119,4mPFOS,5.8139753341674805
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,5.067768343199977,2.9987804975809147,128,PFHpS,5.7382307052612305
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,5.8541172554715555,3.339482543690945,250,PFHxS,5.732048511505127
C(C(C(F)(F)F)(C(F)(F)F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(F)(F)F)F,5.001646105943318,2.201129270388795,33,"4,5dm-PFOS",5.853418350219727
C(C(C(F)(F)F)(F)F)(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F,0.9583170976419597,0.4026355218891337,74,PFPeS,4.869239330291748
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,0.128915525125,0.054981870219917274,24,PFBS,4.940820693969727
C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(F)(F)S(=O)(=O)O)(F)F)F)(F)F)F,0.7938201062972112,1.3200818032343604,22,Nafion-BP2,5.72323751449585
[13CH2]([13CH2]S(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.011342466,0.0,1,6:2FTS,5.660702228546143
